ref1,ref2,co_citation_count
ref-w2789901505,ref-w2898069736,9
ref-w2396739527,ref-w3016993836,8
ref-w2898069736,ref-w2910491371,8
ref-w2989258287,ref-w4396807510,7
ref-w2898069736,ref-w2996432427,6
ref-w2789901505,ref-w2910491371,6
ref-w2996432427,ref-w3022085691,6
ref-w4211068006,ref-w4248175462,6
ref-w2989258287,ref-w3080511606,5
ref-w2396739527,ref-w2912949815,5
ref-w2789981453,ref-w2979564236,5
ref-w2978644098,ref-w3090216936,5
ref-w2948823049,ref-w2979564236,5
ref-w2948823049,ref-w3022085691,5
ref-w2948823049,ref-w2996432427,5
ref-w2789901505,ref-w2896376638,5
ref-w2789901505,ref-w2923916638,5
ref-w2896376638,ref-w2910491371,5
ref-w2896376638,ref-w2923916638,5
ref-w2898069736,ref-w2923916638,5
ref-w2910491371,ref-w2923916638,5
ref-w2898069736,ref-w2950099013,5
ref-w2898069736,ref-w2952858199,5
ref-w2910491371,ref-w2950099013,5
ref-w2950099013,ref-w2952858199,5
ref-w2773929027,ref-w2910491371,5
ref-w2773929027,ref-w3022085691,5
ref-w2898069736,ref-w3022085691,5
ref-w2789901505,ref-w2950099013,5
ref-w2898069736,ref-w2946650937,5
ref-w2898069736,ref-w2967267206,5
ref-w2946650937,ref-w2950099013,5
ref-w2946650937,ref-w2952858199,5
ref-w2773929027,ref-w2789901505,5
ref-w2773929027,ref-w2896376638,5
ref-w2773929027,ref-w2898069736,5
ref-w2773929027,ref-w2923916638,5
ref-w2295598076,ref-w2612056740,4
ref-w2612056740,ref-w2989258287,4
ref-w2612056740,ref-w3080511606,4
ref-w2906554279,ref-w2989258287,4
ref-w2906554279,ref-w3080511606,4
ref-w2906554279,ref-w4396807510,4
ref-w3080511606,ref-w4396807510,4
ref-w1968536645,ref-w2749923194,4
ref-w2801177959,ref-w4200558980,4
ref-w3170852026,ref-w3211171742,4
ref-w2396739527,ref-w2963626623,4
ref-w2910491371,ref-w3165754364,4
ref-w1971727226,ref-w2035480625,4
ref-w2789981453,ref-w2898069736,4
ref-w2789981453,ref-w2996432427,4
ref-w2990647000,ref-w3003945325,4
ref-w2768224956,ref-w6745865189,4
ref-w2064675550,ref-w2250539671,4
ref-w2978644098,ref-w3128825089,4
ref-w3168469624,ref-w3213918042,4
ref-w3090216936,ref-w3150024350,4
ref-w2789901505,ref-w3022085691,4
ref-w2910491371,ref-w3022085691,4
ref-w2910491371,ref-w3036448166,4
ref-w1968536645,ref-w2795280777,4
ref-w2519635852,ref-w2524065646,4
ref-w2990647000,ref-w3022085691,4
ref-w2396739527,ref-w3198536209,4
ref-w2979564236,ref-w2996432427,4
ref-w2976958813,ref-w6768602509,4
ref-w2773929027,ref-w2914938116,4
ref-w2754529701,ref-w2897450989,4
ref-w2910491371,ref-w3083430578,4
ref-w2910491371,ref-w2967267206,4
ref-w2593725966,ref-w2768224956,4
ref-w2769227940,ref-w2910491371,4
ref-w2789901505,ref-w4211068006,4
ref-w2896376638,ref-w2898069736,4
ref-w2896376638,ref-w4211068006,4
ref-w2898069736,ref-w4211068006,4
ref-w2910491371,ref-w4255534863,4
ref-w2898069736,ref-w2979564236,4
ref-w2898069736,ref-w3000356754,4
ref-w2910491371,ref-w2952858199,4
ref-w2910491371,ref-w2921510663,4
ref-w2898069736,ref-w2948823049,4
ref-w2898069736,ref-w2951343982,4
ref-w2921510663,ref-w2946650937,4
ref-w2921510663,ref-w2950099013,4
ref-w2921510663,ref-w2952858199,4
ref-w3047428800,ref-w3128489650,4
ref-w2773929027,ref-w2996432427,4
ref-w2789901505,ref-w2978644098,4
ref-w2789901505,ref-w2996432427,4
ref-w2896376638,ref-w2950099013,4
ref-w2910491371,ref-w2968708466,4
ref-w2732894263,ref-w2737252471,4
ref-w2732894263,ref-w2910491371,4
ref-w2896376638,ref-w2917612571,4
ref-w2773929027,ref-w4211068006,4
ref-w2898238616,ref-w2950099013,4
ref-w2295598076,ref-w2756359217,3
ref-w2295598076,ref-w2989258287,3
