citing_id,cited_id,citing_title,cited_title
alwanin2026customs,regmi2018risk,Customs fraud detection using a gradient boosting approach for joint classification and risk estimation,Risk Management in customs using Deep Neural Network
alwanin2026customs,vanhoeyvel2020customs,Customs fraud detection using a gradient boosting approach for joint classification and risk estimation,Customs fraud detection: Assessing the value of behavioural and high-cardinality data under the imbalanced learning issue
alwanin2026customs,canrakerta2020application,Customs fraud detection using a gradient boosting approach for joint classification and risk estimation,Application of Business Intelligence for Customs Declaration: A Case Study in Indonesia
alwanin2026customs,kim2020date,Customs fraud detection using a gradient boosting approach for joint classification and risk estimation,DATE: Dual Attentive Tree-aware Embedding for Customs Fraud Detection
alwanin2026customs,oosterman2022customs,Customs fraud detection using a gradient boosting approach for joint classification and risk estimation,Customs Risk Assessment Based on Unsupervised Anomaly Detection Using Autoencoders
alwanin2026customs,seck2024building,Customs fraud detection using a gradient boosting approach for joint classification and risk estimation,Building Machine Learning Models for Fraud Detection in Customs Declarations in Senegal
alwanin2026customs,zhou2019data,Customs fraud detection using a gradient boosting approach for joint classification and risk estimation,Data mining in customs risk detection with cost-sensitive classification
alwanin2026customs,mikuriya2020if,Customs fraud detection using a gradient boosting approach for joint classification and risk estimation,"If algorithms dream of customs, do customs officials dream of algorithms? A manifesto for data mobilisation in customs"
ullah2026revolutionizing,wang2025generative,"Revolutionizing European digital exports: The intersection of global supply chains, green FinTech, and sustainable infrastructure",Generative artificial intelligence and internationalization green innovation: Roles of supply chain innovations and AI regulation for SMEs
marradeart2026automatic,he2021a,Automatic Product Classification in International Trade: Machine Learning and Large Language Models,A commodity classification framework based on machine learning for analysis of trade declaration
marradeart2026automatic,chen2021the,Automatic Product Classification in International Trade: Machine Learning and Large Language Models,The use of machine learning to identify the correctness of HS Code for the customs import declarations
zhu2026how,chen2022a,HOW DOES CROSS-BORDER E-COMMERCE CHANGE AS SMALL AND MEDIUM-SIZED ENTERPRISES EXPAND INTO EMERGING MARKETS?,A study of cross-border E-commerce research trends: Based on knowledge mapping and literature analysis
bouchtib2026norma,lee2024explainable,NoRMA: A Multi-agent Communication-Centric Dataset for Enhanced Customs Nomenclature Classification,Explainable Product Classification for Customs
bouchtib2026norma,hu2025iccarag,NoRMA: A Multi-agent Communication-Centric Dataset for Enhanced Customs Nomenclature Classification,ICCA-RAG: Intelligent Customs Clearance Assistant Using Retrieval-Augmented Generation (RAG)
boluchenko2026digital,cao2024application,Digital Platform for Intelligent Tracking of International Road Transport Using Blockchain Technology and Electronic Navigation Seals,Application of Artificial Intelligence Technology in the Supervision of Customs Clearance Machine Inspection
li2026crossborder,yang2023the,Cross-border E-commerce reform and corporate supply chain risk perception,"The Digital Platform, Enterprise Digital Transformation, and Enterprise Performance of Cross-Border E-Commerce—From the Perspective of Digital Transformation and Data Elements"
li2026crossborder,dai2023can,Cross-border E-commerce reform and corporate supply chain risk perception,Can Cross-border E-commerce Reform Reduce Supply Chain Risks?: Quasi-natural Experiment Based on Cross-border E-commerce Comprehensive Pilot Zone
li2026crossborder,wang2025theb,Cross-border E-commerce reform and corporate supply chain risk perception,The mediating role of supply chain digitization in the relationship between cross-border e-commerce development and regional economic growth
alzaqeba2026the,gkoni2024digital,The Effect of Implementing AI-Driven Customs Processes on Trade Facilitation Efficiency in Jordan,Digital Transformation of EU Customs: eCommerce VAT Legislation and a Proposed Customs Clearance Application
alzaqeba2026the,yereshko2024digitalization,The Effect of Implementing AI-Driven Customs Processes on Trade Facilitation Efficiency in Jordan,DIGITALIZATION OF CUSTOMS PROCEDURES: CURRENT STATE AND PROSPECTS
moorthy2026autonomous,visser2016automated,Autonomous Non-Intrusive Inspection for Risk Detection in Cargo Containers Using Deep Learning,Automated comparison of X-ray images for cargo scanning
moorthy2026autonomous,che2018a,Autonomous Non-Intrusive Inspection for Risk Detection in Cargo Containers Using Deep Learning,A comprehensive solution for deep-learning based cargo inspection to discriminate goods in containers
qi2025attribute,zang2008an,Attribute knowledge and KBGAT for predicting the accuracy of the harmonized system code for classifying import and export commodities,An ontological engineering approach for automating inspection and quarantine at airports
qi2025attribute,che2018a,Attribute knowledge and KBGAT for predicting the accuracy of the harmonized system code for classifying import and export commodities,A comprehensive solution for deep-learning based cargo inspection to discriminate goods in containers
qi2025attribute,li2019customs,Attribute knowledge and KBGAT for predicting the accuracy of the harmonized system code for classifying import and export commodities,Customs classification for cross-border e-commerce based on text-image adaptive convolutional neural network
qi2025attribute,spichakova2020using,Attribute knowledge and KBGAT for predicting the accuracy of the harmonized system code for classifying import and export commodities,Using machine learning for automated assessment of misclassification of goods for fraud detection
qi2025attribute,du2021hscodenet,Attribute knowledge and KBGAT for predicting the accuracy of the harmonized system code for classifying import and export commodities,HScodeNet: Combining Hierarchical Sequential and Global Spatial Information of Text for Commodity HS Code Classification
qi2025attribute,binh2021attentive,Attribute knowledge and KBGAT for predicting the accuracy of the harmonized system code for classifying import and export commodities,Attentive RNN for HS Code Hierarchy Classification on Vietnamese Goods Declaration
cneyt2025sectoral,jones2023digital,Sectoral analysis of the impact of artificial intelligence on international trade in Turkey and the BRICS economies,Digital disruption: artificial intelligence and international trade policy
cneyt2025sectoral,meltzer2024the,Sectoral analysis of the impact of artificial intelligence on international trade in Turkey and the BRICS economies,"The Impact of Foundational AI on International Trade, Services and Supply Chains in Asia"
cneyt2025sectoral,ozturk2024the,Sectoral analysis of the impact of artificial intelligence on international trade in Turkey and the BRICS economies,The Impact of AI on International Trade: Opportunities and Challenges
mamyrova2025comparative,rukanova2021identifying,Comparative analysis of digital technologies and legal frameworks in customs operations: A focus on violation detection,Identifying the value of data analytics in the context of government supervision: Insights from the customs domain
quan2025optimizing,yang2023the,"Optimizing international trade settlement systems through blockchain-driven tri-chain collaboration: A study on efficiency, costs, and risk mitigation","The Digital Platform, Enterprise Digital Transformation, and Enterprise Performance of Cross-Border E-Commerce—From the Perspective of Digital Transformation and Data Elements"
he2025research,regmi2018risk,Research on quality and safety risk identification of import and export toys based on the WOA-BP model,Risk Management in customs using Deep Neural Network
li2025the,chang2020blockchain,The game theory issues of blockchain digital ecosystem in cross-border trade,"Blockchain in global supply chains and cross border trade: a critical synthesis of the state-of-the-art, challenges and opportunities"
li2025the,liu2023blockchain,The game theory issues of blockchain digital ecosystem in cross-border trade,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
li2025the,valeria2022the,The game theory issues of blockchain digital ecosystem in cross-border trade,The Impact of Blockchain Technology on International Trade and Financial Business
khalil2025ai,chang2020blockchainenabled,AI driven transformation in trade finance: A roadmap for automating letter of credit document examination,Blockchain-enabled trade finance innovation: A potential paradigm shift on using letter of credit
khalil2025ai,toorajipou2022block,AI driven transformation in trade finance: A roadmap for automating letter of credit document examination,Block by block: A blockchain-based peer-to-peer business transaction for international trade
khalil2025ai,jones2023digital,AI driven transformation in trade finance: A roadmap for automating letter of credit document examination,Digital disruption: artificial intelligence and international trade policy
khalil2025ai,jaloliddin2023digitalization,AI driven transformation in trade finance: A roadmap for automating letter of credit document examination,Digitalization in Global Trade: Opportunities and Challenges for Investment
khalil2025ai,yang2024blockchain,AI driven transformation in trade finance: A roadmap for automating letter of credit document examination,Blockchain technology and international countertrade
