keyword,start_year,end_year,strength,burst_score
decision support,2025,2026,33.47,0.439
revenue,2025,2026,33.36,0.422
ai,2023,2025,32.96,0.481
geopolitics,2025,2026,31.62,0.413
digital platform,2025,2026,28.88,0.364
product classification,2025,2026,28.34,0.358
wto,2025,2026,28.14,0.331
gradient boosting,2025,2026,27.83,0.341
accountability,2025,2026,27.51,0.318
climate change,2025,2026,27.48,0.316
cross-border e-commerce reform,2025,2026,27.48,0.316
transaction costs,2025,2026,27.48,0.316
transparency,2023,2025,27.05,0.384
container throughput forecasting,2025,2026,26.99,0.279
technology,2022,2024,26.95,0.444
customs control,2022,2024,26.95,0.444
hs code,2020,2022,26.87,0.543
graph neural network,2024,2026,26.44,0.235
supply chain transparency,2025,2026,26.11,0.207
boosting,2025,2026,26.11,0.207
