id	label	cluster	weight<Links>	weight<Total link strength>	x	y
1	artificial intelligence	3	5	73	0.278933	-0.222325
2	artificial neural network	3	3	26	0.476267	-0.249852
3	blockchain	2	11	183	-0.102742	0.236074
4	blockchain technology applications and security	1	4	37	-0.129657	0.108072
5	business	1	13	250	-0.018589	-0.089709
6	computer science	1	18	309	0.089934	-0.131511
7	computer security	1	5	76	-0.032079	0.043273
8	cross-border e-commerce	2	2	20	0.061086	0.657357
9	data mining	3	3	28	0.314274	-0.452321
10	database transaction	1	1	8	0.534044	-0.009231
11	deep learning	2	1	8	0.217450	1.000000
12	e-commerce	2	1	10	-0.232342	0.606494
13	e-commerce and technology innovations	1	2	30	0.076802	-0.352507
14	economics	1	8	122	-0.025517	-0.163561
15	engineering	1	2	31	0.263933	-0.030724
16	finance	1	3	45	0.137192	-0.028365
17	industrial organization	1	5	68	-0.165406	-0.182062
18	international trade	2	6	88	0.048192	0.041017
19	law	1	1	9	-0.486154	-0.625559
20	logistics	2	1	9	-0.425714	-0.350035
21	machine learning	3	4	47	0.382253	-0.343602
22	marketing	1	5	84	-0.081252	-0.228106
23	political science	1	4	43	-0.179206	-0.365599
24	smart contract	2	1	27	-0.109663	0.449872
25	supply chain	2	8	119	-0.171580	-0.019504
26	supply chain management	2	2	29	-0.330638	0.225923
27	traceability	2	1	11	-0.389822	0.476492
