id	label	cluster	weight<Links>	weight<Total link strength>	x	y
1	Addo et al. (2016)	1	1	33	0.536130	0.786678
2	Addo et al. (2022)	1	1	33	0.493921	0.828469
3	Awah et al. (2021)	10	1	9	-0.026265	0.484199
4	Balci et al. (2021)	4	1	8	0.702560	0.293498
5	Biswas et al. (2023)	11	1	9	0.984998	-0.230249
6	Chen et al. (2022)	5	1	13	0.029038	-0.996940
7	Compagnucci et al. (2022)	4	2	16	0.703365	-0.107357
8	Cui et al. (2022)	10	1	7	-0.079555	0.259367
9	Cui et al. (2025)	5	3	29	0.009451	-0.849823
10	Gao et al. (2022)	13	1	8	-1.000000	-0.031825
11	García et al. (2021)	15	1	8	-0.872898	0.478041
12	González García et al. (2023)	15	1	8	-0.881024	0.384517
13	Hasan et al. (2024)	14	1	8	0.642445	-0.660397
14	Hofman et al. (2021)	9	1	10	-0.028627	-0.958355
15	Irannezhad et al. (2020)	4	2	24	0.664875	0.121139
16	Jiang et al. (2024)	11	1	9	0.884639	-0.244133
17	Juma et al. (2019)	8	1	11	0.181247	0.920153
18	Juma et al. (2020)	8	1	11	0.147353	0.781001
19	Kim et al. (2020)	7	1	12	-0.350347	-0.932627
20	Kulshrestha et al. (2024)	10	2	16	-0.058810	0.383005
21	Kumar et al. (2021)	2	1	24	-0.921978	-0.345813
22	Kumar et al. (2023)	14	1	8	0.740072	-0.670571
23	Liu et al. (2020)	4	3	33	0.752004	0.054923
24	Liu et al. (2023)	4	5	53	0.798327	0.181409
25	Nasser et al. (2025)	13	2	15	-0.901205	0.002038
26	Niu et al. (2021)	6	2	18	-0.598473	0.661592
27	Niu et al. (2022)	6	3	25	-0.490895	0.721142
28	Niu et al. (2025)	6	2	20	-0.545753	0.780061
29	Niu et al. (2026)	6	3	29	-0.525562	0.670747
30	Rukanova et al. (2021)	9	1	10	0.074643	-0.857449
31	Singh et al. (2023)	7	1	12	-0.380985	-0.855103
32	Soma et al. (2025)	2	1	24	-0.934351	-0.410266
33	Tian et al. (2024)	4	1	7	0.657749	-0.254010
34	Triepels et al. (2015)	12	1	8	-0.645918	-0.597117
35	Triepels et al. (2018)	12	1	8	-0.557646	-0.513072
36	Valle et al. (2021)	4	1	10	0.941127	0.279441
37	Wang et al. (2021)	3	1	16	-0.235898	0.976780
38	Wolf et al. (2024)	4	1	7	0.929574	0.159363
39	Xin et al. (2022)	3	1	16	-0.196669	0.908577
40	Yanac et al. (2024)	13	1	7	-0.729045	0.009748
41	Yang et al. (2023)	5	1	9	-0.051081	-0.623291
42	Zhao et al. (2024)	5	1	7	0.139467	-0.987492
