id	label	cluster	weight<Links>	weight<Total link strength>	x	y
1	ALsheyab et al. (2025)	7	1	1	0.487161	0.836991
2	Abidi et al. (2021)	12	1	1	0.872297	-0.503862
3	Al-Zaqeba et al. (2026)	8	2	2	0.663927	-0.012607
4	Alwanin et al. (2026)	1	8	8	-0.362769	0.274561
5	Anggoro et al. (2025)	5	7	7	-0.444737	0.396626
6	Arrar et al. (2025)	14	1	1	-0.520936	-0.875674
7	Azmeh et al. (2020)	16	1	1	0.537629	0.589641
8	Balci et al. (2021)	12	2	2	0.943484	-0.312727
9	Barata et al. (2024)	9	1	1	0.750408	-0.712597
10	Binh et al. (2021)	5	1	1	0.126972	-0.448024
11	Biswas et al. (2023)	3	1	1	0.116270	0.670846
12	Boluchenko et al. (2026)	6	1	1	-0.368066	-0.390710
13	Borojo et al. (2025)	4	1	1	0.217298	0.468882
14	Bouchtib et al. (2026)	5	2	2	-0.308736	0.089147
15	Cai et al. (2025)	2	1	1	0.437296	-0.421149
16	Canrakerta et al. (2020)	1	1	1	-0.884853	0.483862
17	Cao et al. (2024)	6	1	1	-0.869678	-0.256782
18	Chang et al. (2020)	10	3	3	0.164325	-0.123606
19	Che et al. (2018)	5	2	2	-0.922921	0.072573
20	Chen et al. (2021)	5	3	3	-0.691891	0.455282
21	Chen et al. (2022)	4	2	2	0.263292	-0.235663
22	Chen et al. (2025)	10	2	2	0.245379	-0.333412
23	Cüneyt et al. (2025)	10	3	3	-0.221981	-0.384481
24	Dai et al. (2023)	9	1	1	-0.270523	0.831477
25	Du et al. (2021)	5	2	2	-0.595525	0.679388
26	Fei et al. (2025)	9	2	2	-0.133472	0.511319
27	Ganne et al. (2021)	7	1	1	0.883670	0.466238
28	Gao et al. (2025)	17	1	1	-0.182949	0.799777
29	Gkoni et al. (2024)	8	1	1	1.000000	0.100322
30	He et al. (2021)	5	2	2	-0.560968	0.576303
31	He et al. (2025)	1	1	1	0.645088	0.697624
32	Heinemann et al. (2025)	13	1	1	0.115178	0.481386
33	Hu et al. (2025)	5	1	1	-0.669067	-0.137351
34	Irannezhad et al. (2020)	12	1	1	-0.411144	-0.300725
35	Jaloliddin et al. (2023)	10	1	1	-0.910486	0.141775
36	Jiang et al. (2024)	3	3	3	0.293396	0.171972
