id	label	cluster	weight<Links>	weight<Total link strength>	x	y
1	Altaheri et al. (2020)	3	1	8	-0.919991	-0.172909
2	Babich et al. (2019)	6	4	21	-0.140620	0.232172
3	Behnke et al. (2019)	2	4	20	-0.014539	0.593557
4	Chang et al. (2019)	2	6	34	0.029417	0.498211
5	Chod et al. (2020)	6	1	5	-0.329564	-0.425008
6	Choi (2019)	6	3	15	-0.175957	0.003476
7	Choi et al. (2019)	6	2	10	-0.257891	-0.241616
8	Cole et al. (2019)	2	4	20	0.135205	0.573526
9	Ding et al. (2015)	3	2	13	-0.846107	-0.100380
10	Hastig et al. (2019)	6	3	17	-0.070734	0.184879
11	Kamble et al. (2019)	2	2	10	-0.123106	0.596717
12	Kim et al. (2020)	4	1	5	0.047568	-0.855792
13	Kshetri (2017)	2	2	10	-0.148867	0.398278
14	Li et al. (2019)	3	1	5	-0.711655	-0.061816
15	Pu et al. (2020)	1	1	5	0.736254	0.363957
16	Saberi et al. (2018)	6	8	48	0.001596	0.409447
17	Squarepants (2008)	5	1	6	0.476317	-0.999219
18	Tönnissen et al. (2019)	6	1	5	0.164374	0.302693
19	Vanhoeyveld et al. (2019)	4	2	12	0.175320	-0.809135
20	Wang et al. (2018)	2	3	15	0.219834	0.501807
21	Wang et al. (2019)	2	5	30	0.099656	0.506703
22	Wright (2008)	5	1	6	0.586070	-1.000000
23	Yang (2019)	1	1	5	0.783661	0.256605
24	Zhou (2019)	4	1	7	0.283756	-0.756152
