source_id,target_id,source,target,weight
A5117826597,A5017213869,Rawabi Alwanin,Ouiem Bchir,1
A5117826597,A5029292323,Rawabi Alwanin,Mohamed Maher Ben Ismail,1
A5029292323,A5017213869,Mohamed Maher Ben Ismail,Ouiem Bchir,1
SCO_qahman_a_i_a,SCO_al_taani_a_h_m,"Qahman, A.I.A.","Al-Taani, A.H.M.",1
SCO_qahman_a_i_a,SCO_al_zaqeba_m_a_a,"Qahman, A.I.A.","Al-Zaqeba, M.A.A.",1
SCO_qahman_a_i_a,SCO_almatrooshi_m_a,"Qahman, A.I.A.","Almatrooshi, M.A.",1
SCO_qahman_a_i_a,SCO_aloqaily_a_n,"Qahman, A.I.A.","Aloqaily, A.N.",1
SCO_qahman_a_i_a,SCO_alzaqebah_m,"Qahman, A.I.A.","Alzaqebah, M.",1
SCO_qahman_a_i_a,SCO_jawarneh_s,"Qahman, A.I.A.","Jawarneh, S.",1
SCO_alzaqebah_m,SCO_al_taani_a_h_m,"Alzaqebah, M.","Al-Taani, A.H.M.",1
SCO_alzaqebah_m,SCO_al_zaqeba_m_a_a,"Alzaqebah, M.","Al-Zaqeba, M.A.A.",1
SCO_alzaqebah_m,SCO_almatrooshi_m_a,"Alzaqebah, M.","Almatrooshi, M.A.",1
SCO_alzaqebah_m,SCO_aloqaily_a_n,"Alzaqebah, M.","Aloqaily, A.N.",1
SCO_alzaqebah_m,SCO_jawarneh_s,"Alzaqebah, M.","Jawarneh, S.",1
SCO_jawarneh_s,SCO_al_taani_a_h_m,"Jawarneh, S.","Al-Taani, A.H.M.",1
SCO_jawarneh_s,SCO_al_zaqeba_m_a_a,"Jawarneh, S.","Al-Zaqeba, M.A.A.",1
SCO_jawarneh_s,SCO_almatrooshi_m_a,"Jawarneh, S.","Almatrooshi, M.A.",1
SCO_jawarneh_s,SCO_aloqaily_a_n,"Jawarneh, S.","Aloqaily, A.N.",1
SCO_al_zaqeba_m_a_a,SCO_al_taani_a_h_m,"Al-Zaqeba, M.A.A.","Al-Taani, A.H.M.",1
SCO_al_zaqeba_m_a_a,SCO_almatrooshi_m_a,"Al-Zaqeba, M.A.A.","Almatrooshi, M.A.",1
SCO_al_zaqeba_m_a_a,SCO_aloqaily_a_n,"Al-Zaqeba, M.A.A.","Aloqaily, A.N.",1
SCO_al_taani_a_h_m,SCO_almatrooshi_m_a,"Al-Taani, A.H.M.","Almatrooshi, M.A.",1
SCO_al_taani_a_h_m,SCO_aloqaily_a_n,"Al-Taani, A.H.M.","Aloqaily, A.N.",1
SCO_aloqaily_a_n,SCO_almatrooshi_m_a,"Aloqaily, A.N.","Almatrooshi, M.A.",1
A5069043252,A5014699817,Mausam Budhathoki,Wenbo Zhang,1
A5069043252,A5085133577,Mausam Budhathoki,Sujita Pandey,1
A5069043252,A5102279019,Mausam Budhathoki,Ma Xuzhou,1
A5069043252,A5108479407,Mausam Budhathoki,Hao Xu,1
A5069043252,A5118781272,Mausam Budhathoki,Lincen Li,1
A5069043252,A5118781273,Mausam Budhathoki,Marianne Tshomsen,1
A5118781272,A5014699817,Lincen Li,Wenbo Zhang,1
A5118781272,A5085133577,Lincen Li,Sujita Pandey,1
A5118781272,A5102279019,Lincen Li,Ma Xuzhou,1
A5118781272,A5108479407,Lincen Li,Hao Xu,1
A5118781272,A5118781273,Lincen Li,Marianne Tshomsen,1
