author_id,author,source,paper_count,total_citations,degree,pagerank,neighbors
A5035799603,Yao‐Hua Tan,openalex,7,79,36,0.0013213428076997598,26
A5031978607,Baozhuang Niu,openalex,4,254,9,0.0011851945176092724,9
A5078830938,Boriana Rukanova,openalex,6,72,34,0.001183877945980979,24
A5061810530,Meeyoung Cha,openalex,5,47,24,0.0010855902137657846,17
A5100680433,Jian Zhang,openalex,4,7,13,0.0009670822150655207,10
A5057008719,Mengjie Liao,openalex,4,7,13,0.0009670822150655207,10
A5073596347,Sundong Kim,openalex,4,40,20,0.0009076895306069652,15
A5090148836,Fei Lei,openalex,3,1,6,0.0008644070411588179,6
A5109410921,Weidong Shi,openalex,3,618,10,0.0008498748581492775,9
A5040283439,Marcel Molenhuis,openalex,3,47,25,0.0008479444453200545,20
A5008461757,Chao Che,openalex,3,6,8,0.0008111433167046802,7
A5101509283,Karandeep Singh,openalex,3,39,17,0.0007709650208213171,13
A5075798441,Micha Slegt,openalex,2,50,23,0.0007366568680348915,23
A5088400616,Angelos Amditis,openalex,2,6,9,0.0007182992690406312,9
A5015257123,Gia Huy Dinh,openalex,2,13,9,0.0007182992690406312,9
A5043069620,Olha Yatsenkо,openalex,2,13,9,0.0007182992690406311,9
A5116371030,Sen Liu,openalex,2,4,8,0.000715639750939509,8
A5101658475,Yinsheng Li,openalex,2,17,8,0.0006984963717372201,8
A5012693654,John Simeone,openalex,2,5,18,0.0006955463901384832,17
A5035052603,Naren Ramakrishnan,openalex,2,5,18,0.0006955463901384832,17
A5115491740,Nikolay Aristov,openalex,3,0,8,0.0006917105271638412,6
A5050654045,Elenna Dugundji,openalex,3,0,8,0.0006917105271638412,6
A5079887660,Dejian Yu,openalex,2,1,2,0.0006894050504127882,2
A5102291436,Yulin Wan,openalex,2,5,2,0.0006894050504127882,2
A5050278964,Shaofeng Wang,openalex,2,38,2,0.0006894050504127882,2
A5043258862,Jiaguo Liu,openalex,2,255,5,0.0006763033764513801,5
A5080862570,Rajesh Kumar Singh,openalex,2,130,5,0.0006763033764513801,5
A5061557924,Jiho Yoon,openalex,2,109,5,0.0006763033764513801,5
A5030123172,Abdusobir Saidov,openalex,2,1,4,0.0006744463673486075,4
A5059219589,Anastasia A. Vorona,openalex,2,1,6,0.0006663283467221663,6
A5091589634,Lei Xu,openalex,2,86,8,0.0006503235715915424,7
A5100329487,Ran Yan,openalex,2,5,5,0.0006486881557503848,5
A5058183984,Carlos Soares,openalex,2,1,3,0.0006362852323541951,3
A5041452025,Xiangbin Zuo,openalex,2,0,3,0.0006362852323541951,3
A5007418203,Nexhat Kapidani,openalex,2,9,7,0.0006334377849232574,7
A5066945309,Khaled Shaalan,openalex,4,126,7,0.0005973095896134239,3
A5100381999,Qiang Zhang,openalex,2,6,6,0.0005904147808326767,5
A5014767263,Steve Simske,openalex,2,2,5,0.0005849050484972912,5
A5070050188,Shuaian Wang,openalex,2,5,4,0.000581029566642761,4
A5078281567,Miaohui Liu,openalex,2,46,8,0.0005681469252750864,6
A5110380611,Xu Xin,openalex,2,46,8,0.0005681469252750864,6
A5100447203,Kang Chen,openalex,2,46,8,0.0005681469252750864,6
A5083639786,Aibo Yao,openalex,2,16,5,0.0005675480645453511,4
A5104194805,Lin Jiang,openalex,2,16,5,0.0005675480645453511,4
A5078668456,Edvard Tijan,openalex,2,41,6,0.0005575377811918539,5
A5091766554,Saša Aksentijević,openalex,2,41,6,0.0005575377811918539,5
A5030735745,Ben van Rijnsoever,openalex,2,47,16,0.0005538012510012562,13
A5082004876,Kingsley Eghonghon Ukhurebor,openalex,2,15,8,0.0005522014867324704,7
A5031088527,Wilson Nwankwo,openalex,2,15,8,0.0005522014867324704,7
A5060319953,Stefano Bromuri,openalex,2,8,4,0.0005475502334796357,3
A5112510889,Marko van Eekelen,openalex,2,8,4,0.0005475502334796357,3
A5108156794,Bin Wang,openalex,2,17,4,0.0005444337650973323,4
A5039826754,Jonathan Migeotte,openalex,2,44,15,0.000533249868771393,13
A5021119403,Vеskа Gаnchеvа,openalex,2,1,8,0.0004944005124428752,5
A5055848730,George Popov,openalex,2,1,8,0.0004944005124428752,5
A5024837375,Kamelia Raynova,openalex,2,1,8,0.0004944005124428752,5
A5042935664,Antoaneta Popova,openalex,2,1,8,0.0004944005124428752,5
A5014600496,Cheng–Te Li,openalex,2,35,10,0.00048346096715657863,8
A5113035466,Chengguo Han,openalex,2,3,3,0.00047701161339791775,3
A5016792101,Hussam Juma,openalex,3,111,6,0.0004768065723930548,2
A5049545076,Ibrahim Kamel,openalex,3,111,6,0.0004768065723930548,2
A5041718386,An‐Sing Chen,openalex,2,129,3,0.0004671560018927996,2
A5053791952,Mark T. Leung,openalex,2,129,3,0.0004671560018927996,2
A5052933412,Rafał Rzepka,openalex,2,5,3,0.0004671560018927996,2
A5060629797,Akihiko Obayashi,openalex,2,5,3,0.0004671560018927996,2
A5003517770,Shaoqing Tian,openalex,2,7,5,0.0004614052573714282,3
A5079816074,Fan Jiang,openalex,2,7,5,0.0004614052573714282,3
A5041145097,Chongli Huang,openalex,2,7,5,0.0004614052573714282,3
A5062278806,Jolien Ubacht,openalex,2,17,12,0.0004580442824874137,10
A5039074663,Gary Moloney,openalex,1,1,4,0.00044483310709950255,4
A5055306983,Lisa Finn,openalex,1,1,4,0.00044483310709950255,4
A5075567444,Anthony Winterlich,openalex,1,1,4,0.00044483310709950255,4
A5089475189,Jorge Ángel González Ordiano,openalex,1,1,4,0.00044483310709950255,4
A5017586625,Thomas Koch,openalex,2,0,4,0.0004367388199504284,4
A5113948305,Tatiana N. Timchenko,openalex,1,1,4,0.0004313476213681667,4
A5021256394,Yuri Maksimov,openalex,1,1,4,0.0004313476213681667,4
A5062425402,Dmitry V. Gubarev,openalex,1,1,4,0.0004313476213681667,4
A5029183872,М.В. Бойкова,openalex,1,1,4,0.0004313476213681667,4
A5050016676,Christopher Laing,openalex,1,14,5,0.00042432165315218063,5
A5111948920,Chen‐Fang Tsai,openalex,1,14,5,0.00042432165315218063,5
A5091848185,Zhuangjian Chen,openalex,1,14,5,0.00042432165315218063,5
A5089309679,Wei Xie,openalex,1,14,5,0.00042432165315218063,5
A5031955160,Binyu Zang,openalex,1,14,5,0.0004243216531521806,5
A5100735922,Sungwon Park,openalex,2,9,9,0.0004212130264356851,7
A5092885932,Issah Chakurah,openalex,1,6,11,0.00042065409961066424,11
A5029501752,Rafael Rodolfo de Melo,openalex,1,6,11,0.00042065409961066424,11
A5110539931,James Amponsah,openalex,1,6,11,0.00042065409961066424,11
A5061491237,Gladys Tuo,openalex,1,6,11,0.00042065409961066424,11
A5101846619,Priscila Lira de Medeiros,openalex,1,6,11,0.00042065409961066424,11
A5118515016,Samuel Dwamena Ampadu,openalex,1,6,11,0.00042065409961066424,11
A5118455647,Isaac Buckman,openalex,1,6,11,0.00042065409961066424,11
A5118455646,Emmanuel Minkah,openalex,1,6,11,0.00042065409961066424,11
A5023895925,Neyton de Oliveira Miranda,openalex,1,6,11,0.00042065409961066424,11
A5009429508,Prosper Mensah,openalex,1,6,11,0.00042065409961066424,11
A5021450480,Alexandre Santos Pimenta,openalex,1,6,11,0.00042065409961066424,11
A5118455648,Martina Nikoi,openalex,1,6,11,0.00042065409961066424,11
A5108987582,Chloe L. Thomas,openalex,1,2,5,0.0004206540996106642,5
A5010235218,Thore Weilbier,openalex,1,10,7,0.0004206540996106642,7
A5013051074,Priyanka Pawar,openalex,1,0,5,0.0004206540996106642,5
A5025507587,Krzysztof Mȩkała,openalex,1,16,5,0.0004206540996106642,5
A5111603084,Vijaya Laxmi,openalex,1,16,5,0.0004206540996106642,5
A5077148262,H Jagruthi,openalex,1,16,5,0.0004206540996106642,5
A5084559731,Ali Arif,openalex,1,2,5,0.0004206540996106642,5
A5095755328,D. Kani Jesintha,openalex,1,1,5,0.0004206540996106642,5
A5013134587,James Donarski,openalex,1,2,5,0.0004206540996106642,5
A5001647631,Anselm Busse,openalex,1,10,7,0.0004206540996106642,7
A5113810549,Jacob Eberhardt,openalex,1,10,7,0.0004206540996106642,7
A5040744413,Sebastian Frost,openalex,1,10,7,0.0004206540996106642,7
A5101823607,Dong-Ha Kim,openalex,1,10,7,0.0004206540996106642,7
A5005447462,Lukas Renner,openalex,1,10,7,0.0004206540996106642,7
A5107719732,Akhila Reddy Yadulla,openalex,1,0,5,0.0004206540996106642,5
A5103100537,R. Santhana Krishnan,openalex,1,1,5,0.0004206540996106642,5
A5069203493,Shiv Ashish Dhondiyal,openalex,1,16,5,0.0004206540996106642,5
A5112974431,Sridevi.R,openalex,1,16,5,0.0004206540996106642,5
A5041930133,Amar Prakash Dabral,openalex,1,16,5,0.0004206540996106642,5
A5057506783,Matthias Roth,openalex,1,10,7,0.0004206540996106642,7
A5112609752,Stefan Tai,openalex,1,10,7,0.0004206540996106642,7
A5053672563,Salameh A. Mjlae,openalex,1,9,5,0.0004206540996106642,5
A5004913719,Yousef A. Baker El–Ebiary,openalex,1,9,5,0.0004206540996106642,5
A5061203214,Yazeed Al Moaiad,openalex,1,9,5,0.0004206540996106642,5
A5003876519,P. Sundaravadivel,openalex,1,1,5,0.0004206540996106642,5
A5006060737,Sunanda Das,openalex,1,9,5,0.0004206540996106642,5
A5015553343,Na Yao,openalex,1,0,5,0.0004206540996106642,5
A5100769917,Zhenyu Liu,openalex,1,0,5,0.0004206540996106642,5
A5003525351,John Hudson,openalex,1,2,5,0.0004206540996106642,5
A5033404038,Xiaoqian Zhu,openalex,1,24,5,0.0004206540996106642,5
A5068211239,Guoming Lai,openalex,1,0,5,0.0004206540996106642,5
A5108987581,Helen Graham,openalex,1,2,5,0.0004206540996106642,5
A5045301901,E. Amanatidou,openalex,1,2,5,0.0004206540996106642,5
A5100671685,Yi Miao,openalex,1,0,5,0.0004206540996106642,5
A5032215075,Firas Zawaideh,openalex,1,9,5,0.0004206540996106642,5
A5070929291,Zheng Wan,openalex,1,91,5,0.0004206540996106642,5
A5026391059,Shaojie Ji,openalex,1,91,5,0.0004206540996106642,5
A5090843361,Yati Liu,openalex,1,91,5,0.0004206540996106642,5
A5100381946,Qiang Zhang,openalex,1,91,5,0.0004206540996106642,5
A5100639653,Jihong Chen,openalex,1,91,5,0.0004206540996106642,5
A5100725059,Qin Wang,openalex,1,91,5,0.0004206540996106642,5
A5112736826,Lu Wei,openalex,1,24,5,0.0004206540996106642,5
A5056165941,J. Relin Francis Raj,openalex,1,1,5,0.0004206540996106642,5
