country,paper_count,total_citations
China,351,3415
United States,72,1959
India,60,488
United Kingdom,43,613
South Korea,33,339
Russian Federation,24,62
Netherlands,23,245
Germany,22,429
Taiwan,21,748
Malaysia,19,42
Canada,17,236
Italy,17,674
Ukraine,17,49
Indonesia,17,96
Spain,14,308
Saudi Arabia,13,211
Turkey,12,323
Thailand,12,152
Portugal,11,99
Belgium,11,131
Australia,11,456
Morocco,10,123
Jordan,10,48
United Arab Emirates,10,161
Hong Kong,10,143
Switzerland,10,57
Viet Nam,9,91
Uzbekistan,8,15
Greece,8,55
France,8,313
Norway,8,54
Brazil,8,139
Singapore,7,78
Colombia,7,40
Iran,7,121
Sweden,7,188
Denmark,7,73
Ireland,7,110
Pakistan,6,20
Peru,6,17
Egypt,6,139
Mexico,5,17
South Africa,5,24
Japan,5,27
Austria,5,49
Kyrgyzstan,5,0
Kazakhstan,4,3
Sri Lanka,4,11
Hungary,4,21
Finland,4,86
Nigeria,4,43
Croatia,4,42
Macao,4,53
Bulgaria,4,16
Azerbaijan,3,16
Poland,3,11
Estonia,3,13
Qatar,3,11
Oman,3,3
Cyprus,2,1
Iraq,2,0
Lithuania,2,12
Bahrain,2,2
Ecuador,2,4
Ghana,2,6
Bosnia And Herzegovina,2,0
Romania,2,16
Argentina,2,3
Serbia,2,7
Bangladesh,2,4
Slovenia,1,5
Ethiopia,1,5
Israel,1,246
Madagascar,1,14
Nepal,1,10
Jamaica,1,0
New Zealand,1,3
Senegal,1,1
Palestine,1,9
Cote D'Ivoire,1,3
Montenegro,1,6
Tunisia,1,0
Botswana,1,1
Malawi,1,0
Algeria,1,1
Latvia,1,2
Venezuela,1,21
