keyword_1,keyword_2,weight
business,computer science,48
business,economics,30
blockchain,supply chain,29
blockchain,smart contract,27
computer science,economics,26
artificial intelligence,computer science,25
blockchain,international trade,24
computer science,computer security,24
business,marketing,23
computer science,marketing,21
business,computer security,20
artificial intelligence,machine learning,19
blockchain,supply chain management,19
business,finance,19
computer science,engineering,18
business,industrial organization,18
computer science,e-commerce and technology innovations,17
business,supply chain,17
computer science,supply chain,16
marketing,supply chain,16
computer science,finance,15
computer science,industrial organization,15
business,international trade,15
blockchain,computer science,14
blockchain,computer security,14
economics,international trade,13
blockchain,business,13
business,engineering,13
industrial organization,marketing,13
business,political science,13
computer science,international trade,13
business,e-commerce and technology innovations,13
blockchain,cross-border e-commerce,12
international trade,supply chain,12
economics,industrial organization,12
blockchain,traceability,11
artificial intelligence,international trade,11
computer science,political science,11
economics,finance,11
economics,marketing,11
blockchain,e-commerce,10
computer science,machine learning,10
blockchain,blockchain technology applications and security,10
economics,political science,10
data mining,machine learning,10
blockchain technology applications and security,computer science,10
industrial organization,supply chain,10
supply chain,supply chain management,10
artificial intelligence,artificial neural network,9
artificial neural network,computer science,9
logistics,supply chain,9
law,political science,9
blockchain technology applications and security,computer security,9
computer security,economics,9
artificial intelligence,data mining,9
computer science,data mining,9
artificial neural network,machine learning,8
cross-border e-commerce,deep learning,8
blockchain technology applications and security,business,8
computer science,database transaction,8
computer security,marketing,8
smart contract,supply chain,8
business,supply chain management,8
marketing,supply chain management,8
e-commerce and technology innovations,economics,8
economics,supply chain,8
computer science,world wide web,8
computer science,e-commerce,8
cross-border e-commerce,supply chain management,7
blockchain,transparency,7
artificial intelligence,e-commerce and technology innovations,7
digitalization,international trade,7
machine learning,prediction,7
computer security,supply chain,7
computer science,data science,7
artificial intelligence,business,7
artificial intelligence,engineering,7
engineering,marketing,7
blockchain,economics,7
computer security,finance,7
computer science,supply chain management,7
business,commerce,7
business,law,7
computer science,law,7
finance,international trade,7
business,e-commerce,7
cross-border e-commerce,machine learning,6
blockchain,logistics,6
smart contract,traceability,6
economics,law,6
international trade,political science,6
artificial intelligence,marketing,6
computer science,operations research,6
business,database transaction,6
blockchain,distributed ledger,6
business,payment,6
commerce,computer science,6
computer science,payment,6
business,globalization,6
economics,globalization,6
